date,portid,portname,n_total,n_tanker,n_cargo,n_container,n_dry_bulk,n_general_cargo,n_roro,capacity,capacity_tanker,capacity_cargo,n_total_ma7,n_tanker_ma7,n_cargo_ma7,capacity_ma7,capacity_tanker_ma7
2019-01-01,chokepoint6,Strait of Hormuz,55,35,20,7,8,2,3,3234398,2919371,315026,55.0,35.0,20.0,3234398.0,2919371.0
2019-01-02,chokepoint6,Strait of Hormuz,65,42,23,9,11,0,3,1733609,962946,770662,60.0,38.5,21.5,2484003.5,1941158.5
2019-01-03,chokepoint6,Strait of Hormuz,75,50,25,10,11,4,0,3939032,3180381,758651,65.0,42.3,22.7,2969013.0,2354232.7
2019-01-04,chokepoint6,Strait of Hormuz,66,41,25,9,12,2,2,1539105,857947,681157,65.2,42.0,23.2,2611536.0,1980161.2
2019-01-05,chokepoint6,Strait of Hormuz,62,33,29,11,13,4,1,2774647,1594983,1179663,64.6,40.2,24.4,2644158.2,1903125.6
2019-01-06,chokepoint6,Strait of Hormuz,59,35,24,5,16,2,1,2673415,2187656,485759,63.7,39.3,24.3,2649034.3,1950547.3
2019-01-07,chokepoint6,Strait of Hormuz,79,56,23,11,7,4,1,2704348,2160933,543414,65.9,41.7,24.1,2656936.3,1980602.4
2019-01-08,chokepoint6,Strait of Hormuz,55,31,24,8,10,5,1,1363687,640019,723668,65.9,41.1,24.7,2389691.9,1654980.7
2019-01-09,chokepoint6,Strait of Hormuz,48,25,23,8,9,4,2,2552550,1919488,633061,63.4,38.7,24.7,2506683.4,1791629.6
2019-01-10,chokepoint6,Strait of Hormuz,68,39,29,9,12,5,3,1199267,417519,781747,62.4,37.1,25.3,2115288.4,1396935.0
2019-01-11,chokepoint6,Strait of Hormuz,66,42,24,9,11,2,2,1633265,962916,670348,62.4,37.3,25.1,2128739.9,1411930.6
2019-01-12,chokepoint6,Strait of Hormuz,62,39,23,6,10,7,0,1265254,831713,433540,62.4,38.1,24.3,1913112.3,1302892.0
2019-01-13,chokepoint6,Strait of Hormuz,48,26,22,7,13,1,1,2746768,2106055,640712,60.9,36.9,24.0,1923591.3,1291234.7
2019-01-14,chokepoint6,Strait of Hormuz,55,31,24,9,6,4,5,2412187,1939968,472218,57.4,33.3,24.1,1881854.0,1259668.3
2019-01-15,chokepoint6,Strait of Hormuz,56,30,26,13,7,3,3,1693712,969215,724496,57.6,33.1,24.4,1929000.4,1306696.3
2019-01-16,chokepoint6,Strait of Hormuz,74,40,34,9,17,7,1,3437194,2576373,860820,61.3,35.3,26.0,2055378.1,1400537.0
2019-01-17,chokepoint6,Strait of Hormuz,55,39,16,6,9,1,0,2668237,2027189,641048,59.4,35.3,24.1,2265231.0,1630489.9
2019-01-18,chokepoint6,Strait of Hormuz,58,38,20,10,8,1,1,2823113,2197074,626039,58.3,34.7,23.6,2435209.3,1806798.1
2019-01-19,chokepoint6,Strait of Hormuz,55,34,21,6,7,4,4,1718723,1292026,426697,57.3,34.0,23.3,2499990.6,1872557.1
2019-01-20,chokepoint6,Strait of Hormuz,74,47,27,10,11,4,2,2441378,1437583,1003795,61.0,37.0,24.0,2456363.4,1777061.1
2019-01-21,chokepoint6,Strait of Hormuz,62,38,24,6,9,6,3,862046,325037,537009,62.0,38.0,24.0,2234914.7,1546356.7
