date,portid,portname,n_total,n_tanker,n_cargo,n_container,n_dry_bulk,n_general_cargo,n_roro,capacity,capacity_tanker
2019-01-01,chokepoint1,Suez Canal,59,18,41,15,15,7,4,3050342,1279775
2019-01-01,chokepoint10,Oresund Strait,27,8,19,3,4,12,0,54049,19567
2019-01-01,chokepoint11,Taiwan Strait,252,71,181,90,59,22,10,5073335,1099978
2019-01-01,chokepoint12,Korea Strait,200,67,133,47,33,47,6,2402389,847755
2019-01-01,chokepoint13,Tsugaru Strait,24,9,15,5,6,2,2,351218,65518
2019-01-01,chokepoint14,Luzon Strait,79,21,58,11,35,8,4,3244530,762588
2019-01-01,chokepoint15,Lombok Strait,24,5,19,1,17,1,0,1171971,45849
2019-01-01,chokepoint16,Ombai Strait,18,5,13,2,10,1,0,1396660,6235
2019-01-01,chokepoint17,Bohai Strait,96,17,79,17,52,9,1,1881357,273145
2019-01-01,chokepoint18,Torres Strait,4,2,2,1,1,0,0,89911,62997
2019-01-01,chokepoint19,Sunda Strait,22,8,14,3,11,0,0,1313318,93090
2019-01-01,chokepoint2,Panama Canal,35,17,18,6,10,1,1,880491,264719
2019-01-01,chokepoint20,Makassar Strait,47,6,41,2,39,0,0,2500296,95595
2019-01-01,chokepoint21,Magellan Strait,2,0,2,0,1,1,0,36875,0
2019-01-01,chokepoint22,Yucatan Channel,28,13,15,6,5,1,3,529872,274361
2019-01-01,chokepoint23,Windward Passage,21,2,19,7,6,5,1,245394,0
2019-01-01,chokepoint24,Mona Passage,12,6,6,4,0,1,1,337191,286890
2019-01-01,chokepoint25,Balabac Strait,14,2,12,2,7,3,0,159510,2785
2019-01-01,chokepoint26,Bering Strait,3,0,3,2,1,0,0,72843,0
2019-01-01,chokepoint27,Mindoro Strait,41,4,37,0,33,4,0,2242518,93811
2019-01-01,chokepoint28,Kerch Strait,47,12,35,1,3,31,0,186071,120534
2019-01-01,chokepoint3,Bosporus Strait,96,31,65,12,19,34,0,877288,230878
2019-01-01,chokepoint4,Bab el-Mandeb Strait,50,21,29,16,8,4,1,2742135,1141463
2019-01-01,chokepoint5,Malacca Strait,201,76,125,56,47,15,7,8185371,3712932
2019-01-01,chokepoint6,Strait of Hormuz,55,35,20,7,8,2,3,3234398,2919371
2019-01-01,chokepoint7,Cape of Good Hope,48,11,37,8,25,2,2,1848668,429107
2019-01-01,chokepoint8,Gibraltar Strait,123,41,82,31,30,18,3,3253978,808115
2019-01-01,chokepoint9,Dover Strait,129,47,82,26,10,35,11,2458240,978443
2019-01-02,chokepoint1,Suez Canal,50,10,40,24,4,6,6,2327017,518306
2019-01-02,chokepoint10,Oresund Strait,28,7,21,6,1,13,1,47928,14422
2019-01-02,chokepoint11,Taiwan Strait,263,67,196,98,67,24,7,5904165,1088934
2019-01-02,chokepoint12,Korea Strait,181,61,120,39,44,35,2,2793795,1059899
2019-01-02,chokepoint13,Tsugaru Strait,33,16,17,2,12,2,1,518618,94862
2019-01-02,chokepoint14,Luzon Strait,86,24,62,6,41,7,8,4555163,1038325
2019-01-02,chokepoint15,Lombok Strait,26,7,19,1,17,1,0,2208440,144530
2019-01-02,chokepoint16,Ombai Strait,10,2,8,1,7,0,0,696149,143330
2019-01-02,chokepoint17,Bohai Strait,103,20,83,13,56,11,3,2491061,132585
2019-01-02,chokepoint18,Torres Strait,12,3,9,3,4,2,0,192451,126886
2019-01-02,chokepoint19,Sunda Strait,25,7,18,5,9,2,2,952788,393637
2019-01-02,chokepoint2,Panama Canal,27,9,18,8,6,2,2,742744,299878
2019-01-02,chokepoint20,Makassar Strait,52,3,49,2,44,3,0,2377520,92362
2019-01-02,chokepoint21,Magellan Strait,1,0,1,1,0,0,0,22741,0
2019-01-02,chokepoint22,Yucatan Channel,47,24,23,10,8,2,3,1155232,768043
2019-01-02,chokepoint23,Windward Passage,10,2,8,3,2,2,1,101588,0
2019-01-02,chokepoint24,Mona Passage,10,5,5,1,1,2,1,217907,178067
2019-01-02,chokepoint25,Balabac Strait,11,5,6,0,5,1,0,523556,323619
2019-01-02,chokepoint26,Bering Strait,5,2,3,1,2,0,0,151980,39578
2019-01-02,chokepoint27,Mindoro Strait,46,3,43,1,38,4,0,2846137,136302
2019-01-02,chokepoint28,Kerch Strait,30,7,23,0,4,18,1,54957,23615
2019-01-02,chokepoint3,Bosporus Strait,121,21,100,6,23,71,0,1270608,466810
2019-01-02,chokepoint4,Bab el-Mandeb Strait,59,18,41,18,16,6,1,2780443,776236
2019-01-02,chokepoint5,Malacca Strait,157,65,92,34,41,11,6,7496931,3876314
2019-01-02,chokepoint6,Strait of Hormuz,65,42,23,9,11,0,3,1733609,962946
2019-01-02,chokepoint7,Cape of Good Hope,23,4,19,3,8,7,1,1171051,553937
2019-01-02,chokepoint8,Gibraltar Strait,114,28,86,23,30,24,9,3310454,1078710
2019-01-02,chokepoint9,Dover Strait,132,43,89,33,17,35,4,2916042,919740
2019-01-03,chokepoint1,Suez Canal,61,23,38,13,14,9,2,2387272,804257
2019-01-03,chokepoint10,Oresund Strait,44,16,28,4,3,19,2,52260,25044
2019-01-03,chokepoint11,Taiwan Strait,245,53,192,92,59,36,5,4654043,447454
2019-01-03,chokepoint12,Korea Strait,203,67,136,42,25,65,4,2529021,1080757
2019-01-03,chokepoint13,Tsugaru Strait,29,11,18,3,15,0,0,585990,32437
2019-01-03,chokepoint14,Luzon Strait,95,25,70,9,46,13,2,5972461,2097263
2019-01-03,chokepoint15,Lombok Strait,35,10,25,0,23,1,1,1738025,118360
2019-01-03,chokepoint16,Ombai Strait,18,3,15,1,9,4,1,1336483,132834
2019-01-03,chokepoint17,Bohai Strait,105,13,92,22,56,11,3,3004825,242935
2019-01-03,chokepoint18,Torres Strait,12,2,10,2,7,1,0,295616,0
