portid,portname,days,avg_total,avg_tanker,avg_cargo,avg_capacity,avg_tanker_capacity,total_total,total_tanker,total_capacity,period,tanker_share
chokepoint1,Suez Canal,366,39.4098,14.3224,25.0874,1338093.4727,617514.2514,14424,5242,489742211,2024,0.3634
chokepoint1,Suez Canal,365,38.2466,14.5205,23.726,1383036.0384,678341.6137,13960,5300,504808154,2025,0.3797
chokepoint1,Suez Canal,137,38.1533,14.8394,23.3139,1330331.6423,620231.3139,5227,2033,182255435,2026 YTD,0.3889
chokepoint1,Suez Canal,2694,53.3601,17.4324,35.9276,2306446.0085,811544.4414,143752,46963,6213565547,Full record,0.3267
chokepoint1,Suez Canal,179,38.5754,14.8212,23.7542,1382121.8603,648304.2905,6905,2653,247399813,Last 180 days,0.3842
chokepoint10,Oresund Strait,366,44.4809,11.5792,32.9016,93583.9508,24564.5792,16280,4238,34251726,2024,0.2603
chokepoint10,Oresund Strait,365,46.2384,11.9616,34.2767,109087.537,33155.1151,16877,4366,39816951,2025,0.2587
chokepoint10,Oresund Strait,137,41.0949,10.3212,30.7737,96616.2117,26077.8321,5630,1414,13236421,2026 YTD,0.2512
chokepoint10,Oresund Strait,2694,48.4321,11.7454,36.6867,102826.2814,29447.1704,130476,31642,277014002,Full record,0.2425
chokepoint10,Oresund Strait,179,42.2011,10.6257,31.5754,103910.1788,29385.5698,7554,1902,18599922,Last 180 days,0.2518
chokepoint11,Taiwan Strait,366,232.2978,49.765,182.5328,5590957.5984,803844.4617,85021,18214,2046290481,2024,0.2142
chokepoint11,Taiwan Strait,365,237.3589,51.2,186.1589,5927557.4411,894701.4986,86636,18688,2163558466,2025,0.2157
chokepoint11,Taiwan Strait,137,226.9854,45.7664,181.219,5700450.1387,748485.5985,31097,6270,780961669,2026 YTD,0.2016
chokepoint11,Taiwan Strait,2694,241.34,55.3515,185.9885,5508585.7238,849884.2906,650170,149117,14840129940,Full record,0.2294
chokepoint11,Taiwan Strait,179,224.0894,45.1453,178.9441,5668498.4022,764439.9162,40112,8081,1014661214,Last 180 days,0.2015
chokepoint12,Korea Strait,366,230.6448,62.5792,168.0656,3203521.0574,874854.6967,84416,22904,1172488707,2024,0.2713
chokepoint12,Korea Strait,365,215.6685,58.7562,156.9123,3134455.2904,836182.0493,78719,21446,1144076181,2025,0.2724
chokepoint12,Korea Strait,137,189.4307,49.2117,140.219,2856994.7372,731340.7883,25952,6742,391408279,2026 YTD,0.2598
chokepoint12,Korea Strait,2694,223.0137,61.5698,161.4439,2940609.4235,800772.2324,600799,165869,7922001787,Full record,0.2761
chokepoint12,Korea Strait,179,192.067,50.2291,141.838,2880079.3408,741861.6536,34380,8991,515534202,Last 180 days,0.2615
chokepoint13,Tsugaru Strait,366,45.2896,12.2541,33.0355,1024601.9481,129756.9809,16576,4485,375004313,2024,0.2706
chokepoint13,Tsugaru Strait,365,45.0247,12.8822,32.1425,1013088.8712,158413.0301,16434,4702,369777438,2025,0.2861
chokepoint13,Tsugaru Strait,137,43.1898,12.7372,30.4526,994034.0146,155929.0584,5917,1745,136182660,2026 YTD,0.2949
chokepoint13,Tsugaru Strait,2694,44.9198,12.1934,32.7264,965133.7049,130951.1982,121014,32849,2600070201,Full record,0.2714
chokepoint13,Tsugaru Strait,179,41.6592,12.4358,29.2235,948193.4022,147573.6425,7457,2226,169726619,Last 180 days,0.2985
chokepoint14,Luzon Strait,366,79.3005,26.9699,52.3306,5213754.265,1802481.6284,29024,9871,1908234061,2024,0.3401
chokepoint14,Luzon Strait,365,66.0027,21.4521,44.5507,4122666.4575,1371580.5534,24091,7830,1504773257,2025,0.325
chokepoint14,Luzon Strait,137,64.708,19.8467,44.8613,3886031.1679,1171519.5766,8865,2719,532386270,2026 YTD,0.3067
chokepoint14,Luzon Strait,2694,70.1964,24.2647,45.9317,4283755.7673,1551682.9354,189109,65369,11540438037,Full record,0.3457
chokepoint14,Luzon Strait,179,63.9385,19.5866,44.352,3895364.7877,1187591.1564,11445,3506,697270297,Last 180 days,0.3063
chokepoint15,Lombok Strait,366,36.9098,7.6721,29.2377,2733363.0874,132024.4508,13509,2808,1000410890,2024,0.2079
chokepoint15,Lombok Strait,365,35.6767,7.5534,28.1233,2958309.2247,145734.8575,13022,2757,1079782867,2025,0.2117
chokepoint15,Lombok Strait,137,36.6131,7.8978,28.7153,2909300.0365,170330.9635,5016,1082,398574105,2026 YTD,0.2157
chokepoint15,Lombok Strait,2694,35.4358,7.2001,28.2357,2561144.5805,142130.3541,95464,19397,6899723500,Full record,0.2032
chokepoint15,Lombok Strait,179,36.4246,7.7933,28.6313,2982298.3184,167793.9609,6520,1395,533831399,Last 180 days,0.214
chokepoint16,Ombai Strait,366,10.9672,3.8279,7.1393,471441.4481,74821.2705,4014,1401,172547570,2024,0.349
chokepoint16,Ombai Strait,365,10.4986,3.6521,6.8466,804569.5808,70000.8658,3832,1333,293667897,2025,0.3479
chokepoint16,Ombai Strait,137,9.0,3.4234,5.5766,766596.6861,76528.3139,1233,469,105023746,2026 YTD,0.3804
chokepoint16,Ombai Strait,2694,11.0765,3.6967,7.3797,545226.9013,70431.1893,29840,9959,1468841272,Full record,0.3337
chokepoint16,Ombai Strait,179,9.257,3.4525,5.8045,748740.8436,76138.3128,1657,618,134024611,Last 180 days,0.373
chokepoint17,Bohai Strait,366,169.9536,35.0656,134.888,6131941.3169,749733.4481,62203,12834,2244290522,2024,0.2063
chokepoint17,Bohai Strait,365,168.5753,35.7397,132.8356,6190287.2192,725299.6603,61530,13045,2259454835,2025,0.212
chokepoint17,Bohai Strait,137,163.0657,34.3577,128.708,6241993.1752,649192.4088,22340,4707,855153065,2026 YTD,0.2107
chokepoint17,Bohai Strait,2694,174.8545,36.2817,138.5728,5599361.9458,674300.4183,471058,97743,15084681082,Full record,0.2075
chokepoint17,Bohai Strait,179,163.6704,35.1173,128.5531,6245396.2514,683326.5307,29297,6286,1117925929,Last 180 days,0.2146
chokepoint18,Torres Strait,366,9.4153,2.0765,7.3388,188156.1721,36906.1803,3446,760,68865159,2024,0.2205
chokepoint18,Torres Strait,365,9.5205,2.137,7.3836,201321.0356,35886.6849,3475,780,73482178,2025,0.2245
chokepoint18,Torres Strait,137,8.6788,1.9562,6.7226,187906.7883,40011.7518,1189,268,25743230,2026 YTD,0.2254
chokepoint18,Torres Strait,2694,9.0408,2.02,7.0208,187455.3864,35347.784,24356,5442,505004811,Full record,0.2234
chokepoint18,Torres Strait,179,8.8101,1.9888,6.8212,193343.4972,38167.2514,1577,356,34608486,Last 180 days,0.2257
chokepoint19,Sunda Strait,366,31.9071,12.0246,19.8825,1210522.0984,285552.5984,11678,4401,443051088,2024,0.3769
chokepoint19,Sunda Strait,365,31.5671,11.8658,19.7014,1272051.6658,336194.3041,11522,4331,464298858,2025,0.3759
chokepoint19,Sunda Strait,137,34.1095,12.1606,21.9489,1401756.562,312921.4818,4673,1666,192040649,2026 YTD,0.3565
chokepoint19,Sunda Strait,2694,28.7442,11.1923,17.552,1046118.4792,266740.5382,77437,30152,2818243183,Full record,0.3894
chokepoint19,Sunda Strait,179,33.9665,12.2626,21.7039,1386968.1564,316388.1173,6080,2195,248267300,Last 180 days,0.361
chokepoint2,Panama Canal,366,25.9344,11.0656,14.8689,742859.9645,292626.4536,9492,4050,271886747,2024,0.4267
chokepoint2,Panama Canal,365,30.2822,12.6356,17.6466,891181.9945,322916.3781,11053,4612,325281428,2025,0.4173
chokepoint2,Panama Canal,137,31.5912,13.9562,17.635,961350.9197,368655.8394,4328,1912,131705076,2026 YTD,0.4418
chokepoint2,Panama Canal,2694,30.245,12.4209,17.8241,859598.4729,314147.4362,81480,33462,2315758286,Full record,0.4107
chokepoint2,Panama Canal,179,31.4078,13.7933,17.6145,947928.4749,359953.3464,5622,2469,169679197,Last 180 days,0.4392
chokepoint20,Makassar Strait,366,54.5738,4.8224,49.7514,3049068.7432,57937.3552,19974,1765,1115959160,2024,0.0884
chokepoint20,Makassar Strait,365,46.3068,4.8493,41.4575,2865918.5753,66463.1726,16902,1770,1046060280,2025,0.1047
chokepoint20,Makassar Strait,137,43.3796,4.4088,38.9708,2591291.8175,66790.5985,5943,604,355006979,2026 YTD,0.1016
chokepoint20,Makassar Strait,2694,51.8849,5.1856,46.6993,2772779.2528,66090.8088,139778,13970,7469867307,Full record,0.0999
